Tract Code,State,County,Latitude,Longitude,Total Cash Rent,Total Cash Rent MG,Less than $100,Less than $100 MG,$100 to $149,$100 to $149 MG,$150 to $199,$150 to $199 MG,$200 to $249,$200 to $249 MG,$250 to $299,$250 to $299 MG,$300 to $349,$300 to $349 MG,$350 to $399,$350 to $399 MG,$400 to $449,$400 to $449 MG,$450 to $499,$450 to $499 MG,$500 to $549,$500 to $549 MG,$550 to $599,$550 to $599 MG,$600 to $649,$600 to $649 MG,$650 to $699,$650 to $699 MG,$700 to $749,$700 to $749 MG,$750 to $799,$750 to $799 MG,$800 to $899,$800 to $899 MG,$900 to $999,$900 to $999 MG,"$1,000 to $1,249","$1,000 to $1,249 MG","$1,250 to $1,499","$1,250 to $1,499 MG","$1,500 to $1,999","$1,500 to $1,999 MG","$2,000 to $2,499","$2,000 to $2,499 MG","$2,500 to $2,999","$2,500 to $2,999 MG","$3,000 to $3,499","$3,000 to $3,499 MG","$3,500 or more","$3,500 or more MG",No Cash Rent,No Cash Rent MG
400,Florida,Leon County,29.67636,-82.308764,415,101,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,20,34,22,35,0,15,26,25,17,13,48,50,71,58,51,39,75,65,13,15,66,64,6,21,0,15,0,15,0,15,14,17
501,Florida,Leon County,30.435891,-84.293608,577,145,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,41,36,0,15,154,115,65,72,154,105,11,17,83,66,35,50,0,15,0,15,34,54,0,15
502,Florida,Leon County,26.644225,-81.842049,995,218,0,15,0,15,0,15,12,20,0,15,0,15,0,15,0,15,0,15,0,15,20,22,17,18,13,14,53,59,181,92,226,174,61,50,91,81,137,137,26,45,35,55,59,67,0,15,64,99,0,15
600,Florida,Leon County,29.655054,-82.294539,1293,213,17,26,18,30,49,43,0,15,0,15,77,73,25,40,24,30,32,40,19,32,53,59,33,42,0,15,145,70,98,79,98,86,57,75,269,167,89,77,45,41,87,93,43,52,15,25,0,15,0,15
700,Florida,Leon County,29.634506,-82.298314,732,128,0,15,0,15,10,15,57,52,0,15,6,12,0,15,0,15,6,10,42,32,22,34,48,49,26,39,54,39,7,11,87,64,107,52,103,57,10,14,81,46,58,60,8,14,0,15,0,15,0,15
800,Florida,Leon County,30.312277,-81.656417,1099,265,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,36,45,0,15,0,15,53,52,26,40,23,26,48,43,141,102,540,268,125,75,39,29,52,64,6,9,10,16,0,15,22,25
903,Florida,Leon County,30.437722,-84.247056,899,161,0,15,35,49,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,9,15,0,15,37,54,128,81,113,59,364,143,144,86,69,77,0,15,0,15,0,15,0,15,10,17
904,Florida,Leon County,30.441377,-84.23631,1106,221,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,7,11,13,22,14,24,0,15,14,21,254,168,311,135,302,137,156,110,35,48,0,15,0,15,0,15,0,15,38,49
905,Florida,Leon County,30.427243,-84.233832,1493,338,0,15,0,15,0,15,7,11,0,15,0,15,0,15,0,15,0,15,164,183,0,15,0,15,0,15,108,91,0,15,112,67,205,113,685,291,201,97,11,16,0,15,0,15,0,15,0,15,0,15
906,Florida,Leon County,30.468174,-84.24231,673,160,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,20,26,15,26,22,26,124,97,165,93,258,141,69,54,0,15,0,15,0,15,0,15,35,42
907,Florida,Leon County,30.454983,-84.244665,1463,296,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,26,46,0,21,0,21,24,42,21,35,132,121,154,228,327,170,489,179,253,130,21,34,0,21,16,25,0,21,5,9
1001,Florida,Leon County,30.45446,-87.187758,989,200,48,67,0,15,56,65,86,61,67,60,35,39,73,113,28,45,8,12,6,9,82,107,82,77,0,15,17,30,97,86,132,96,94,68,73,59,0,15,5,8,0,15,0,15,0,15,0,15,22,25
1002,Florida,Leon County,30.431881,-87.179356,499,172,4,6,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,5,13,37,57,4,7,0,15,12,14,120,149,47,33,88,60,40,51,40,64,102,96,0,15,0,15,0,15,22,34
1101,Florida,Leon County,30.473128,-87.175235,321,100,0,15,0,15,0,15,14,19,0,15,0,15,0,15,0,15,37,39,7,11,23,27,24,36,0,15,28,38,0,15,102,61,0,15,61,57,6,9,19,28,0,15,0,15,0,15,0,15,20,19
